SO - SOURCE
        0x01 - Knife
		0x02 - Sword
		0x03 - Mace
		0x04 - Axe
		0x05 - Whip
		0x06 - Throw
		0x08 - Fire
		0x09 - Water
		0x0A - Wind
		0x0B - Earth
LV - LEVEL NEEDED
WHO - Who can Learn the spell
        0x01 - Justin
		0x02 - Feena
		0x04 - Sue
		0x08 - Gadwin
		0x10 - Rapp
		0x20 - Milda
		0x40 - Guido
		0x80 - Liete
        ( example, 0B 01 00 00 00 00 9F is digging and can be learned by 9F ( Justin [1] + Feena [3] + Sue [7] + Gadwin [F] +  Rapp [1F] + Liete [9F] )
		
                SO LV SO LV  SO LV WO
DEF LOSS        0B 06 00 00  00 00 1C
TREMOR          0B 03 00 00  00 00 0F
GRAVITY         0B 0C 00 00  00 00 98
QUAKE           0B 13 00 00  00 00 9D
HEAL            09 01 00 00  00 00 97
ALHEAL          09 05 00 00  00 00 07
SNOOZE          09 03 00 00  00 00 17
HEALER          09 08 00 00  00 00 13
ALHEALER        09 0C 00 00  00 00 82
ALHEALER+       09 14 00 00  00 00 97
RESSURECT       09 10 00 00  00 00 87
BURN!           08 01 00 00  00 00 9F
BURNFLAME       08 04 00 00  00 00 9F
BURNSTRIKE      08 12 00 00  00 00 1D
BURNFLARE       08 09 00 00  00 00 1F
FIREBURNER      08 19 00 00  00 00 99
HOWL            0A 01 00 00  00 00 97
RUNNER          0A 02 00 00  00 00 12
HOWLSLASH       0A 06 00 00  00 00 87
LACOSTA         0A 0C 00 00  00 00 00
SHHH!           0A 0C 00 00  00 00 16
HOWLNADO        0A 17 00 00  00 00 95
POIZN           09 05 0B 03  00 00 90
CURE            09 03 0B 02  00 00 07
STRAM           09 06 0B 05  00 00 90
CRAZE           09 0A 0B 0A  00 00 90
REFRESH         09 0C 0B 0A  00 00 06
SPEEDY          09 0D 0B 0D  00 00 16
HALVAH          09 13 0B 10  00 00 17
BOOM!           0B 07 08 06  00 00 8D
WOW!            0B 05 08 05  00 00 1A
METEOR STRIKE   0B 0F 08 0D  00 00 98
BOOM-POW!       0B 0A 08 0A  00 00 1D
BA-BOOM!        0B 14 08 12  00 00 9F
CRACKLE         0A 03 09 02  00 00 07
FREEZE          0A 06 09 05  00 00 81
COLD            0A 0A 09 08  00 00 81
FIORA           0A 08 09 0A  00 00 16
CRACKLING       0A 0A 09 0C  00 00 97
ZAP!            08 05 0A 04  00 00 85
GADZAP          08 13 0A 0F  00 00 81
ZAP ALL         08 0A 0A 09  00 00 95
DRAGONZAP       08 15 0A 13  00 00 93
MAGIC ART       08 0C 00 00  00 00 80
STAR SYMPHONY   09 14 0B 14  00 00 80
ENCLOSE         08 17 0A 18  00 00 80
TIME GATE       0A 12 09 12  00 00 02
TREE OF LIFE    09 17 0B 16  00 00 02
END OF WORLD    08 1B 00 00  00 00 02
V-SLASH         02 01 00 00  00 00 01
W-BREAK         02 06 03 04  00 00 01
SHOCKWAVE       03 07 04 05  00 00 01
MIDAIRCUT       03 0A 04 0C  00 00 01
IMMORTALAURA    02 14 03 19  04 16 01
ICESLASH        04 10 0A 0A  09 0A 01
LOTUSCUT        02 0C 08 08  00 00 01
THORCUT         02 17 08 11  0A 11 01
DRAGONCUT       02 10 0B 07  08 06 01
H&ECUT          02 20 03 1D  04 1E 01
KNIFEHURL       01 03 00 00  00 00 02
RANDOMHURL      01 0A 00 00  00 00 02
PARAWHIP        05 04 00 00  00 00 02
FIREWHIP        05 0E 08 0C  00 00 02
ZAPWHIP         05 18 08 0F  0A 0F 02
FIREAWAY        06 0A 00 00  00 00 04
ROUNDWHACKER    03 07 00 00  00 00 04
PUFFY FIRE      06 0C 08 02  00 00 04
YAWN            03 0A 09 03  00 00 04
PUFFY KICK      06 01 00 00  00 00 04
RAHRAHCHEER     03 01 06 01  00 00 04
FIGHTCHEER      03 08 0B 02  08 03 04
ERUPTCUT        02 08 0B 03  08 03 08
FLYDRAGONCUT    02 04 00 00  00 00 08
DRAGONCUT       02 10 0B 07  08 06 08
MISTHIDE        01 05 00 00  00 00 10
DOPPELGANGER    01 0C 02 09  00 00 10
DETHSWORD       01 10 02 0E  00 00 10
MISSILE         06 07 00 00  00 00 10
FIREBALL        06 0C 08 0A  00 00 10
SIDETHROW       06 16 00 00  00 00 10
DISCUTTER       01 0A 02 07  06 0F 10
DEMONBALL       01 14 02 12  06 17 10
NEODEMONBALL    01 18 02 19  06 20 10
SPLITTER        02 0D 03 0F  00 00 20
HOMERUNATTACK   00 00 00 00  00 00 00
RAGE            00 00 00 00  00 00 00
MILDAKICK       04 0A 00 00  00 00 20
MILDAHIT        02 14 03 15  04 18 20
MILDAHIT2       00 00 00 00  00 00 00
MOGAYSHOT       06 05 00 00  00 00 40
MOGAYBOMB       06 0C 00 00  00 00 40
MOGAYHYPO       01 0F 02 06  00 00 40
POWERUP         01 13 02 0A  00 00 40
MOGAYPICKPOCK   01 0D 02 08  06 0F 40
REDSHOCK        03 0A 00 00  00 00 80
ENCHANTMENT     03 12 00 00  00 00 80
PROTECT         0A 14 09 17  00 00 86
SANCTUARY       00 00 00 00  00 00 00
DIGGIN          0B 01 00 00  00 00 9F
